Z                                       xi                                                    xi1                                                    xi2                                                   xi3                                                     xi4                                                    delta                                                                delta1                                                                delta2                                                                delta3                                                                delta4                                                                Ts                                                                Ts1                                                                 Ts2                                                                 Ts3                                                                Ts4
6.000000         0.000000             0.000000           0.000000         1.000000             0.048308           -0.758543         -0.506922             -0.756151           -0.512147         -0.124312             763.990662           1331.967041          808.884094             1722.387817           1811.880737
 6.000778         0.000000             0.000000           0.000000         0.000000             0.000000           -0.388300         -0.754878             -0.629918           -0.131418         -0.252256             811.302246           1201.022827          817.623291             1449.005127           1308.605225
 6.001556         0.000000             0.000000           0.000000         0.000000             0.004677           -0.630023         -0.877200             -0.632038           -0.630937         -0.501842             834.511536           1197.522949          830.668396             1211.938599           1359.317139
 6.002334         0.000000             0.000259           0.000000         0.000001             0.000143           -0.755265         -0.379236             -0.876794           -0.504079         -0.502684             717.638794           1519.297485          642.259460             1276.261108           1120.026001
 6.003113         0.000000             0.000000           0.000000         0.000004             0.000000           -0.877780         -0.259709             -0.877669           -0.754269         -0.130674             569.801575           1498.163574          612.100891             1080.050537           1030.964844
 6.003891         0.000000             0.000000           0.000000         0.000012             0.000000           -0.754053         -0.628092             -0.630739           -0.255684         -0.756585             658.688599           1352.244995          668.950073             1281.041748           839.495483
 6.004670         0.000000             0.000000           0.000000         0.000000             0.000486           -0.755437         -0.877348             -0.752515           -0.123273         -0.758001             761.936768           1093.864258          843.937195             1353.845337           728.545349
 6.005448         0.000000             0.000000           0.002728         0.684010             0.000034           -0.879882         -0.757728             0.503971           1.648513         -0.385177             614.970886           1357.400146          1068.392822             2072.706543           913.333679
 6.006227         0.000000             0.000000           0.027983         0.000117             0.000346           -0.756448         -0.754820             0.125247           -0.002303         0.999985             739.007690           1805.839111          1333.419312             1884.550903           1130.764648
 6.007006         0.000000             0.000000           0.727132         0.000000             0.001725           -0.756412         -0.756569             -0.383873           -0.507325         0.498295             708.923218           2601.233398          1931.018677             1155.633545           1112.575928
 6.007785         0.000000             0.000000           0.000000         0.000000             0.000013           -0.512434         -0.752561             -0.756707           -0.755539         -0.630060             704.070801           3622.710693          897.873840             1002.675293           1001.214783
 6.008564         0.000000             1.000000           0.000062         0.000102             0.000000           -0.511964         0.503257             -0.878394           -0.506867         -0.385137             767.993713           3631.968994          653.806274             1117.307007           1020.492493
 6.009344         0.000000             1.000000           0.000000         0.000000             0.000000           -0.757918         -0.382191             -0.754400           -0.630090         -0.632169             786.777771           3187.477051          740.732727             1220.688110           1118.133301
 6.010123         0.000000             1.000000           0.000000         0.000000             0.000000           -0.008915         -0.383245             -0.755089           -0.631146         -0.754472             889.435547           4736.837891          764.364075             1314.502319           825.003479
 6.010903         0.000000             1.000000           0.000000         0.000000             0.000000           0.122179         -0.375641             -0.262863           0.118910         -0.253360             912.547180           9996.261719          837.951904             1407.017944           974.784485
 6.011683         0.000000             1.000000           0.037122         0.000002             0.004810           -0.258899         3.047821             -0.251649           0.002149         0.129337             913.651489           15309.434570          1104.642212             1490.405884           1242.561157
 6.012463         0.000000             1.000000           0.007393         0.000000             0.445459           -0.756056         6.096741             -0.381751           -0.378743         -0.250547             675.045227           13549.691406          1140.837280             1531.303955           2332.115723
 6.013243         0.000000             1.000000           0.000589         1.000000             0.000255           -0.755101         0.371689             -0.506595           0.381082         -0.633865             749.679443           7748.877441          1028.136597             2143.139160           1405.934814
 6.014023         0.000000             1.000000           0.000000         0.190040             0.000000           -0.508327         2.799429             -0.505077           2.782206         -0.752835             853.751526           8715.762695          1035.592285             3098.547607           1957.626587
 6.014803         0.000000             1.000000           0.000000         0.392481             1.000000           -0.754331         1.017336             0.242400           0.252663         1.382553             806.647888           5924.218750          1196.924316             3190.425049           3391.710205
 6.015583         0.000000             1.000000           0.000614         0.000016             1.000000           -0.636620         -0.120627             -0.382061           -0.255636         0.253339             759.342773           4587.101562          1230.336060             3191.691650           3523.628174
 6.016364         0.000000             1.000000           0.000000         0.000001             0.002225           -0.754612         4.198582             0.369189           0.371847         -0.503841             839.113892           6222.451172          1340.666870             2830.048828           2430.837891
 6.017144         0.000000             1.000000           0.049319         1.000000             0.000000           0.499770         0.246293             -0.630101           0.121397         -0.503702             1029.697632           4966.054199          1372.573364             3846.036865           1723.166504
 6.017925         0.074550             1.000000           0.000000         0.007339             0.000273           -0.381687         0.498938             -0.879174           0.369756         0.622166             1369.262329           3177.685547          811.693909             3341.657959           1857.040771
 6.018706         0.000000             0.000000           0.000000         1.000000             0.000031           -0.755917         -0.007996             -0.758582           0.755873         -0.130267             850.812073           2505.644531          697.805725             4356.450195           1738.571045
 6.019487         0.000000             0.000000           0.000000         0.516302             0.000010           -0.513693         -0.752213             -0.879435           0.002322         0.369726             819.713013           1964.895996          662.198059             3806.198730           1914.027222
 6.020268         0.000000             0.000000           0.000000         0.000000             0.002015           -1.000000         -0.753359             -0.880194           -0.628075         -0.000137             213.522034           1604.915771          558.598694             1692.716919           2386.713135
 6.021050         0.000000             0.000000           0.000000         0.000000             0.157880           -0.879689         -0.755539             -0.754295           -0.502419         0.881169             591.687988           1459.758545          631.549683             1451.778198           3271.370361
 6.021831         0.000000             0.000000           0.000000         0.000000             0.099686           -0.881013         -0.629508             -0.753834           -0.502994         0.123266             345.239349           1535.334961          674.329468             1308.253052           3120.992920
 6.022613         0.000000             0.002821           0.000000         0.000000             0.000111           -1.000000         0.118209             -0.254848           -0.381744         -0.505310             126.017174           1663.574219          822.351013             1298.983154           2452.449463
 6.023394         0.000000             0.092405           0.000288         0.000000             0.000000           -0.502724         -0.126371             -0.254984           -0.504452         -0.754575             788.781982           2143.700928          800.078125             1241.765747           1654.002075
 6.024176         0.268643             0.001463           0.000000         0.024781             0.000000           -0.127090         -0.756048             -0.752765           -0.506660         -0.255749             1306.535522           1245.222290          722.770203             1396.194580           1360.614746
 6.024958         0.004493             0.000000           0.000000         0.000000             0.002081           -0.505355         -0.384568             -0.754585           -0.255723         -0.000842             1437.090942           1245.580566          578.327881             1257.761597           1224.319092
 6.025740         0.000000             0.000000           0.000003         0.000000             0.001338           -0.378415         -0.130052             -0.631323           -0.502277         -0.381892             960.954712           1441.693848          806.826904             1306.965820           1152.300659
 6.026522         0.000153             0.000197           0.000000         0.002659             0.000000           -0.255902         -0.126203             -0.627762           -0.128377         -0.754889             929.456482           1571.847046          789.566040             1310.717285           1010.235779
 6.027305         0.000000             0.000264           0.000000         0.000035             0.000000           -0.878795         0.249699             -0.752527           -0.753079         -0.632311             591.987549           1507.742065          753.648132             1201.915771           960.885071
 6.028087         0.000000             0.041671           0.000000         0.000000             0.000000           -0.753590         -0.252292             -0.503200           -0.632276         -0.755115             735.267212           1465.296753          857.678223             1111.323364           892.377502
 6.028870         0.000000             0.000027           0.000043         0.000000             0.000000           -0.628169         0.116434             -0.380538           -0.630385         -0.753734             789.128784           1426.713135          881.840637             1283.077515           955.754578
 6.029653         0.000000             0.000177           0.000000         0.000000             0.002453           -0.251327         -0.500210             -0.629768           -0.379765         -0.140975             904.929626           1430.490845          822.891968             1411.662598           1092.266724
 6.030435         0.000000             0.083607           0.000000         0.000039             0.000000           -0.006064         0.128019             -0.384981           2.014939         -0.757565             908.029419           2254.657715          917.075317             1804.165161           935.032104
 6.031218         0.000000             0.000533           0.000000         1.000000             0.000000           -0.258548         0.002094             0.122719           0.623461         -0.757610             951.436462           2426.114502          1082.468140             2591.012695           869.773743
 6.032001         0.001947             0.000099           0.732052         0.000000             0.000000           -0.503960         -0.000830             0.130534           -0.500282         -1.000000             1608.924805           2157.759521          2411.138916             2884.520020           150.882446
 6.032785         0.445887             0.000053           0.070155         0.655659             0.000000           0.121363         0.122969             0.634832           -0.381993         -0.879136             1310.429932           3566.549805          3385.505859             2631.292725           613.062561
 6.033568         0.083519             0.130675           0.005421         0.000000             0.000000           0.380559         1.259626             -0.000418           0.123516         -0.753687             1380.822510           3940.420166          1697.683960             1777.220703           611.875183
 6.034352         0.000115             0.038812           1.000000         0.331535             0.000000           -0.254040         -0.006552             -0.122449           -0.130348         -0.877545             1571.969604           2229.998291          2557.422363             3404.524414           654.215393
 6.035135         1.000000             0.000000           0.006490         0.148199             0.000000           0.252424         -0.755264             0.755658           -0.002163         -0.753817             2370.218018           1222.530029          2457.797607             2523.764648           672.939026
 6.035919         0.125685             0.000000           0.652675         0.000131             0.000000           -0.003529         -0.755297             2.036643           -0.503177         -0.629956             2034.080688           1287.024780          3855.654297             1457.018066           769.069641
 6.036703         0.000037             0.000000           1.000000         0.000066             0.000000           -0.127304         -0.756199             -0.502556           0.115957         -0.508195             1608.266479           1539.971924          3280.763428             1471.306519           650.458313
 6.037487         0.001936             0.000000           0.038272         0.909246             0.000000           -0.626761         -0.876509             1.014188           -0.126705         -0.507303             2113.779053           1562.304077          4639.898438             2311.960449           696.317871
 6.038271         0.327769             0.000191           1.000000         0.459023             0.000000           0.122807         -0.378185             1.903867           0.751080         -0.755982             3009.695312           2943.452393          6507.702148             2375.771240           721.421936
 6.039055         1.000000             0.000003           1.000000         0.082691             0.000000           -0.002689         -0.004333             2.025920           0.751186         -0.509367             4533.405273           2200.779541          6507.515625             1843.046265           658.875061
 6.039840         1.000000             0.146572           1.000000         0.738623             0.000000           -0.628882         1.008332             -0.126746           0.258075         -0.753606             3969.309326           3429.862061          3801.037109             1748.702881           613.146729
